Country	VType	Date	Total
Total	Dato base	2020-09	1.140.186
Total	Dato base	2020-08	2.442.999
Total	Dato base	2020-07	2.464.441
Total	Dato base	2020-06	204.926
Total	Dato base	2020-05	0
Total	Dato base	2020-04	0
Total	Dato base	2020-03	2.018.323
Total	Dato base	2020-02	4.423.576
Total	Dato base	2020-01	4.138.371
Total	Dato base	2019-12	4.304.741
Total	Dato base	2019-11	4.655.021
Total	Dato base	2019-10	7.587.749
Total	Dato base	2019-09	8.845.152
Total	Dato base	2019-08	10.118.366
Total	Dato base	2019-07	9.873.270
Total	Dato base	2019-06	8.833.893
Total	Dato base	2019-05	7.919.204
Total	Dato base	2019-04	7.146.033
Total	Dato base	2019-03	5.649.577
Total	Dato base	2019-02	4.380.504
Total	Dato base	2019-01	4.195.641
Total	Dato base	2018-12	4.354.798
Total	Dato base	2018-11	4.536.873
Total	Dato base	2018-10	7.649.860
Total	Dato base	2018-09	8.932.308
Total	Dato base	2018-08	10.175.761
Total	Dato base	2018-07	10.020.246
Total	Dato base	2018-06	8.554.306
Total	Dato base	2018-05	8.086.048
Total	Dato base	2018-04	6.780.378
Total	Dato base	2018-03	5.393.186
Total	Dato base	2018-02	4.218.047
Total	Dato base	2018-01	4.106.601
Total	Dato base	2017-12	3.982.530
Total	Dato base	2017-11	4.392.575
Total	Dato base	2017-10	7.269.931
Total	Dato base	2017-09	8.877.270
Total	Dato base	2017-08	10.397.745
Total	Dato base	2017-07	10.493.438
Total	Dato base	2017-06	8.431.975
Total	Dato base	2017-05	8.002.648
Total	Dato base	2017-04	7.081.594
Total	Dato base	2017-03	4.913.943
Total	Dato base	2017-02	4.119.137
Total	Dato base	2017-01	3.905.736
Total	Dato base	2016-12	3.990.446
Total	Dato base	2016-11	4.098.262
Total	Dato base	2016-10	7.137.723
Total	Dato base	2016-09	7.932.607
Total	Dato base	2016-08	10.027.471
Total	Dato base	2016-07	9.545.792
Total	Dato base	2016-06	7.552.758
Total	Dato base	2016-05	7.111.154
Total	Dato base	2016-04	6.086.327
Total	Dato base	2016-03	4.627.206
Total	Dato base	2016-02	3.678.726
Total	Dato base	2016-01	3.526.537
Total	Dato base	2015-12	3.512.914
Total	Dato base	2015-11	3.754.802
Total	Dato base	2015-10	6.432.341
Total	Tasa de variacón anual	2020-09	-87,11
Total	Tasa de variación anual	2020-08	-75,86
Total	Tasa de variación anual	2020-07	-75,04
Total	Tasa de variación anual	2020-06	-97,68
Total	Tasa de variación anual	2020-05	-100,00
Total	Tasa de variación anual	2020-04	-100,00
Total	Tasa de variación anual	2020-03	-64,27
Total	Tasa de variación anual	2020-02	0,98
Total	Tasa de variación anual	2020-01	-1,36
Total	Tasa de variación anual	2019-12	-1,15
Total	Tasa de variación anual	2019-11	2,60
Total	Tasa de variación anual	2019-10	-0,81
Total	Tasa de variación anual	2019-09	-0,98
Total	Tasa de variación anual	2019-08	-0,56
Total	Tasa de variación anual	2019-07	-1,47
Total	Tasa de variación anual	2019-06	3,27
Total	Tasa de variación anual	2019-05	-2,06
Total	Tasa de variación anual	2019-04	5,39
Total	Tasa de variación anual	2019-03	4,75
Total	Tasa de variación anual	2019-02	3,85
Total	Tasa de variación anual	2019-01	2,17
Total	Tasa de variación anual	2018-12	9,35
Total	Tasa de variación anual	2018-11	3,29
Total	Tasa de variación anual	2018-10	5,23
Total	Tasa de variación anual	2018-09	0,62
Total	Tasa de variación anual	2018-08	-2,13
Total	Tasa de variación anual	2018-07	-4,51
Total	Tasa de variación anual	2018-06	1,45
Total	Tasa de variación anual	2018-05	1,04
Total	Tasa de variación anual	2018-04	-4,25
Total	Tasa de variación anual	2018-03	9,75
Total	Tasa de variación anual	2018-02	2,40
Total	Tasa de variación anual	2018-01	5,14
Total	Tasa de variación anual	2017-12	-0,20
Total	Tasa de variación anual	2017-11	7,18
Total	Tasa de variación anual	2017-10	1,85
Total	Tasa de variación anual	2017-09	11,91
Total	Tasa de variación anual	2017-08	3,69
Total	Tasa de variación anual	2017-07	9,93
Total	Tasa de variación anual	2017-06	11,64
Total	Tasa de variación anual	2017-05	12,54
Total	Tasa de variación anual	2017-04	16,35
Total	Tasa de variación anual	2017-03	6,20
Total	Tasa de variación anual	2017-02	11,97
Total	Tasa de variación anual	2017-01	10,75
Total	Tasa de variación anual	2016-12	13,59
Total	Tasa de variación anual	2016-11	9,15
Total	Tasa de variación anual	2016-10	10,97
Total	Tasa de variación anual	2016-09	9,52
Total	Tasa de variación anual	2016-08	6,34
Total	Tasa de variación anual	2016-07	9,99
Total	Tasa de variación anual	2016-06	12,89
Total	Tasa de variación anual	2016-05	8,19
Total	Tasa de variación anual	2016-04	11,59
Total	Tasa de variación anual	2016-03	15,45
Total	Tasa de variación anual	2016-02	13,95
Total	Tasa de variación anual	2016-01	11,04
Total	Tasa de variación anual	2015-12	7,92
Total	Tasa de variación anual	2015-11	10,56
Total	Tasa de variación anual	2015-10	8,89
Total	Acumulado en lo que va de año	2020-09	16.832.823
Total	Acumulado en lo que va de año	2020-08	15.692.636
Total	Acumulado en lo que va de año	2020-07	13.249.637
Total	Acumulado en lo que va de año	2020-06	10.785.196
Total	Acumulado en lo que va de año	2020-05	10.580.270
Total	Acumulado en lo que va de año	2020-04	10.580.270
Total	Acumulado en lo que va de año	2020-03	10.580.270
Total	Acumulado en lo que va de año	2020-02	8.561.947
Total	Acumulado en lo que va de año	2020-01	4.138.371
Total	Acumulado en lo que va de año	2019-12	83.509.153
Total	Acumulado en lo que va de año	2019-11	79.204.413
Total	Acumulado en lo que va de año	2019-10	74.549.391
Total	Acumulado en lo que va de año	2019-09	66.961.642
Total	Acumulado en lo que va de año	2019-08	58.116.490
Total	Acumulado en lo que va de año	2019-07	47.998.124
Total	Acumulado en lo que va de año	2019-06	38.124.854
Total	Acumulado en lo que va de año	2019-05	29.290.961
Total	Acumulado en lo que va de año	2019-04	21.371.757
Total	Acumulado en lo que va de año	2019-03	14.225.723
Total	Acumulado en lo que va de año	2019-02	8.576.146
Total	Acumulado en lo que va de año	2019-01	4.195.641
Total	Acumulado en lo que va de año	2018-12	82.808.413
