
DATE																	OCUPADOS	
2020T3		
   1.1. SECTOR TURISTICO 														146,5	
   1.1.1. (55) Servicios de alojamiento                                              							 57,8	
   1.1.2. (56) Servicios de comidas y bebidas												 43,0	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 18,7	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 33,1	
2020T2		
   1.1. SECTOR TURISTICO														110,0	
   1.1.1. (55) Servicios de alojamiento													 41,0	
   1.1.2. (56) Servicios de comidas y bebidas												 30,4	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 17,9	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 20,6	
2020T1		
   1.1. SECTOR TURISTICO														 98,5	
   1.1.1. (55) Servicios de alojamiento													 25,8	
   1.1.2. (56) Servicios de comidas y bebidas												 33,7	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 18,9	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 20,1	
2019_anual		
   1.1. SECTOR TURISTICO														146,4	
   1.1.1. (55) Servicios de alojamiento													 50,3	
   1.1.2. (56) Servicios de comidas y bebidas												 46,2	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 21,4	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 28,4	
2019T4		
   1.1. SECTOR TURISTICO														140,2	
   1.1.1. (55) Servicios de alojamiento													 44,8	
   1.1.2. (56) Servicios de comidas y bebidas											    	 43,0	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 23,0	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 29,4	
2019T3		
   1.1. SECTOR TURISTICO														187,3	
   1.1.1. (55) Servicios de alojamiento													 74,3	
   1.1.2. (56) Servicios de comidas y bebidas												 56,4	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 26,2	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 30,4	
2019T2		
   1.1. SECTOR TURISTICO														156,9	
   1.1.1. (55) Servicios de alojamiento													 58,7	
   1.1.2. (56) Servicios de comidas y bebidas												 46,5	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 23,1	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...     28,7	
2019T1		
   1.1. SECTOR TURISTICO														101,1	
   1.1.1. (55) Servicios de alojamiento													 23,4	
   1.1.2. (56) Servicios de comidas y bebidas												 39,0	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 13,5	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 25,2	
2018_anual		
   1.1. SECTOR TURISTICO														153,2	
   1.1.1. (55) Servicios de alojamiento													 56,5	
   1.1.2. (56) Servicios de comidas y bebidas												 52,2	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 16,2	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,... 	 28,3	
2018T4		
   1.1. SECTOR TURISTICO														136,7	
   1.1.1. (55) Servicios de alojamiento													 46,1	
   1.1.2. (56) Servicios de comidas y bebidas												 48,1	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 15,3	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,... 	 27,2	
2018T3		
   1.1. SECTOR TURISTICO														199,6	
   1.1.1. (55) Servicios de alojamiento													 84,6	
   1.1.2. (56) Servicios de comidas y bebidas												 63,9	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 18,9	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 32,3	
2018T2		
   1.1. SECTOR TURISTICO														169,1	
   1.1.1. (55) Servicios de alojamiento													 64,6	
   1.1.2. (56) Servicios de comidas y bebidas												 55,6	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 19,3	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 29,7	
2018T1		
   1.1. SECTOR TURISTICO														107,4	
   1.1.1. (55) Servicios de alojamiento												  	 30,8	
   1.1.2. (56) Servicios de comidas y bebidas												 41,2	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 11,4	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 24,0	
2017_anual		
   1.1. SECTOR TURISTICO														144,3	
   1.1.1. (55) Servicios de alojamiento													 53,1	
   1.1.2. (56) Servicios de comidas y bebidas												 49,7	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 18,3	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 23,2	
2017T4		
   1.1. SECTOR TURISTICO														131,1	
   1.1.1. (55) Servicios de alojamiento													 47,4	
   1.1.2. (56) Servicios de comidas y bebidas												 49,0	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 14,8	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 19,9	
2017T3		
   1.1. SECTOR TURISTICO														185,6	
   1.1.1. (55) Servicios de alojamiento													 76,0	
   1.1.2. (56) Servicios de comidas y bebidas												 60,6	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 21,4	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 27,6	
2017T2		
   1.1. SECTOR TURISTICO														155,0	
   1.1.1. (55) Servicios de alojamiento													 60,5	
   1.1.2. (56) Servicios de comidas y bebidas												 52,3	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 20,2	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 21,9	
2017T1		
   1.1. SECTOR TURISTICO														105,6	
   1.1.1. (55) Servicios de alojamiento													 28,5	
   1.1.2. (56) Servicios de comidas y bebidas												 36,9	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 16,9	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 23,3	
2016_anual		
   1.1. SECTOR TURISTICO														147,6	
   1.1.1. (55) Servicios de alojamiento													 47,6	
   1.1.2. (56) Servicios de comidas y bebidas												 51,4	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 25,2	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,... 	 23,4	
2016T4		
   1.1. SECTOR TURISTICO														132,3	
   1.1.1. (55) Servicios de alojamiento													 41,6	
   1.1.2. (56) Servicios de comidas y bebidas												 45,5	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 23,5	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 21,6	
2016T3		
   1.1. SECTOR TURISTICO														182,8	
   1.1.1. (55) Servicios de alojamiento													 60,6	
   1.1.2. (56) Servicios de comidas y bebidas												 61,5	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 34,5	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,... 	 26,1	
2016T2		
   1.1. SECTOR TURISTICO														157,5	
   1.1.1. (55) Servicios de alojamiento													 54,1	
   1.1.2. (56) Servicios de comidas y bebidas												 54,2	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 25,7	
   1.1.4. Otras actividades turIsticas: Agencias de viaje, alquiler de vehIculos, actividades culturales, actividades deportivas,...	 23,5	
2016T1		
   1.1. SECTOR TURISTICO														118,1	
   1.1.1. (55) Servicios de alojamiento													 34,1	
   1.1.2. (56) Servicios de comidas y bebidas												 44,4	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 17,1	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 22,5	
2015_anual		
   1.1. SECTOR TURISTICO														139,1	
   1.1.1. (55) Servicios de alojamiento													 43,8	
   1.1.2. (56) Servicios de comidas y bebidas												 52,2	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 17,4	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 25,6	
2015T4		
   1.1. SECTOR TURISTICO														133,9	
   1.1.1. (55) Servicios de alojamiento													 37,7	
   1.1.2. (56) Servicios de comidas y bebidas												 49,1	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 18,6	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 28,5	
2015T3		
   1.1. SECTOR TURISTICO														172,6	
   1.1.1. (55) Servicios de alojamiento													 59,8	
   1.1.2. (56) Servicios de comidas y bebidas												 65,6	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 18,2	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 28,9	
2015T2		
   1.1. SECTOR TURISTICO														151,8	
   1.1.1. (55) Servicios de alojamiento													 52,2	
   1.1.2. (56) Servicios de comidas y bebidas												 55,1	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 18,4	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 26,2	
2015T1		
   1.1. SECTOR TURISTICO														 98,2	
   1.1.1. (55) Servicios de alojamiento													 25,6	
   1.1.2. (56) Servicios de comidas y bebidas												 39,1	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 14,5	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 18,9	
2014_anual		
   1.1. SECTOR TURISTICO														122,1	
   1.1.1. (55) Servicios de alojamiento													 44,2	
   1.1.2. (56) Servicios de comidas y bebidas												 38,8	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 18,4	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 20,7	
2014T4		
   1.1. SECTOR TURISTICO														116,2	
   1.1.1. (55) Servicios de alojamiento													 43,8	
   1.1.2. (56) Servicios de comidas y bebidas												 35,2	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 17,8	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 19,4	
2014T3		
   1.1. SECTOR TURISTICO														157,6	
   1.1.1. (55) Servicios de alojamiento													 63,2	
   1.1.2. (56) Servicios de comidas y bebidas												 48,7	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 21,0	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 24,7	
2014T2		
   1.1. SECTOR TURISTICO														131,6	
   1.1.1. (55) Servicios de alojamiento													 48,4	
   1.1.2. (56) Servicios de comidas y bebidas												 43,3	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 19,3	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 20,6	
2014T1		
   1.1. SECTOR TURISTICO														 83,1	
   1.1.1. (55) Servicios de alojamiento													 21,6	
   1.1.2. (56) Servicios de comidas y bebidas												 27,8	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 15,7	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 18,1	
2013_anual		
   1.1. SECTOR TURISTICO														123,7	
   1.1.1. (55) Servicios de alojamiento													 42,3	
   1.1.2. (56) Servicios de comidas y bebidas												 40,4	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 18,8	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 22,1	
2013T4		
   1.1. SECTOR TURISTICO														106,9	
   1.1.1. (55) Servicios de alojamiento													 32,9	
   1.1.2. (56) Servicios de comidas y bebidas												 35,5	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 18,2	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 20,2	
2013T3		
   1.1. SECTOR TURISTICO														163,0	
   1.1.1. (55) Servicios de alojamiento													 61,9	
   1.1.2. (56) Servicios de comidas y bebidas												 49,5	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 22,5	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 29,1	
2013T2		
   1.1. SECTOR TURISTICO														139,4	
   1.1.1. (55) Servicios de alojamiento													 50,5	
   1.1.2. (56) Servicios de comidas y bebidas												 47,6	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 18,9	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 22,4	
2013T1		
   1.1. SECTOR TURISTICO														 85,4	
   1.1.1. (55) Servicios de alojamiento													 24,0	
   1.1.2. (56) Servicios de comidas y bebidas												 29,0	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 15,6	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 16,9	
2012_anual		
   1.1. SECTOR TURISTICO														117,9	
   1.1.1. (55) Servicios de alojamiento													 37,4	
   1.1.2. (56) Servicios de comidas y bebidas	 											 42,4	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 20,1	
